id,inhabitants,s1_percentage_unemployed,s3_percentage_transfer_payments_recipients,s4_percentage_transfer_payments_recipients_below_15_years,d1_percentage_unemployed,d3_percentage_transfer_payments_recipients,d4_percentage_transfer_payments_recipients_below_15_years,inhabitants,k01_youth_unemployment,k02_single_parent_households,k03_old_age_poverty,k04_children_with_migration_background,k05_inhabitants_with_migration_background,k16_foreigners,k06_change_proportion_of_foreigner,k17_non_eu_foreigners,k07_foreign_transfer_recipients,k09_simple_residential_area,k10_duration_of_residence_over_5_years,k11_migration_volume,k12_balance_of_migration,k13_balance_of_migration_of_children_below_6
072003,21079.0,4.70644,10.83543,21.82178,1.45172,0.195410000000001,2.46966,21079.0,3.28587,27.29744,10.38223,61.6172,40.95071,23.5163,0.84202,60.581,21.85445,1.20025,65.17999,25.80366,0.05764,0.19155
072004,30527.0,4.20256,10.892,20.56515,0.96703,-0.609440000000001,-1.09359,30527.0,3.08123,26.86782,10.37913,56.87387,42.09388,24.34894,-0.40049,64.03875,19.04617,37.94018,65.19464,26.21339,0.15318,-5.19995
073005,24466.0,2.01011,5.20723,7.35247,0.51855,-0.24922,-0.56407,24466.0,1.19556,25.31749,5.59822,41.43881,28.67244,15.55628,0.45541,59.95796,11.4063,0.0,69.53038,22.50211,-0.74453,-4.69687
073006,21673.0,3.70836,9.25114,19.90358,0.68453,-0.42008,0.12565,21673.0,2.34915,26.49652,5.60286,55.41606,39.36695,20.3802,0.1952,64.81775,20.68336,0.07382,70.5671,19.78283,-0.67425,-0.74788
074007,17502.0,4.72684,11.0216,22.56222,1.20173,-0.943390000000001,0.25619,17502.0,2.56112,29.44251,7.73792,54.28177,38.66987,18.44932,-4.72284,64.54011,22.53774,0.22855,72.54093,29.118,-3.30276,-6.66987
074008,31951.0,4.73597,12.09665,27.58536,0.66255,-0.842499999999999,-1.70163,31951.0,2.56937,32.28188,7.7381,57.66624,36.45582,19.65823,1.25484,63.87518,24.68108,3.22369,65.91224,21.88855,0.26115,-2.21943
074009,15084.0,7.15501,16.53408,42.16579,1.24354,-1.77792,-1.4574,15084.0,4.39189,31.33333,7.73686,74.46361,48.99894,28.9048,1.88883,62.47706,31.15365,49.76134,61.87131,29.51706,-0.3537,-4.64925
075010,31782.0,5.67242,12.74621,32.09125,0.75995,-1.1634,-1.9197,31782.0,3.85321,31.13731,5.0014,63.67624,38.39909,19.13033,0.74853,64.22697,30.19528,29.61425,67.04624,21.26455,0.48275,-1.64445
075011,20958.0,4.9423,10.3779,24.70356,1.25323,-1.16439,-3.39833,20958.0,3.09757,24.8468,4.99744,58.85279,33.36673,17.1629,1.25133,66.24965,29.02633,37.88052,70.25856,18.3437,0.67342,-0.52954
076012,17802.0,6.3954,15.12751,38.08455,1.99224,-0.658110000000001,2.39178,17802.0,4.58861,26.47224,6.01382,61.61647,37.87215,19.54275,1.11681,73.98678,46.82912,35.86114,69.93807,19.4734,0.18016,0.13772
076013,14462.0,6.85593,15.80694,37.91946,1.78304,-0.55819,-0.131009999999996,14462.0,4.10448,32.89474,6.02007,59.68202,39.86309,16.27023,1.55668,62.55844,38.99167,19.72065,72.45766,15.06248,-0.05722,0.62885
076014,21393.0,2.98287,7.9325,18.15092,0.59769,-0.18606,0.4605,21393.0,1.48794,27.63281,3.81394,40.92863,23.13374,9.7976,0.84481,62.54771,28.2504,8.85336,72.21161,15.3443,0.39607,4.55371
076015,30717.0,5.41179,12.78771,31.89693,0.98844,-0.79012,-2.0841,30717.0,3.92749,29.33845,3.81109,49.15593,28.67142,14.88101,1.45253,71.34106,42.86053,28.0724,68.83651,17.787,1.41248,4.44241
081001,32480.0,9.6144,19.28879,47.35529,2.41809,-2.59675,-2.17368,32480.0,8.91404,32.47094,21.34609,76.32871,55.87746,35.86823,0.16314,63.20172,27.78969,97.01047,60.63575,28.94281,-0.49217,-7.31769
081002,37931.0,10.33046,21.32556,50.32875,2.87213,-3.04282,-2.99814,37931.0,10.03327,31.81395,20.45572,81.06568,59.5766,37.01722,0.49085,65.8144,31.47006,100.0,61.98265,29.24772,-0.33433,-5.92779
081003,39139.0,7.07944,15.57526,36.38087,1.92825,-1.79411,-2.65829,39139.0,6.30936,32.00483,17.79731,66.67885,51.17913,32.76272,0.2902,61.11674,22.66712,98.5411,63.57055,25.94713,-1.30686,-8.25668
081004,39699.0,9.34368,19.38084,47.17719,2.56467,-2.45703,-2.69824999999999,39699.0,8.72738,30.13537,17.74618,74.44642,53.37666,34.57266,0.23602,61.16576,31.64428,92.33986,60.21914,28.34803,-1.63375,-8.9179
081005,15387.0,17.12936,35.91993,71.84104,5.09503,-4.33849,-0.854309999999998,15387.0,12.02595,29.57746,19.77092,89.31987,69.10379,32.36498,0.19007,82.83133,51.30913,100.0,75.40267,17.87793,-1.31103,-5.34101
082006,20426.0,10.22865,20.41026,49.16291,2.76112,-1.47679,1.57368,20426.0,7.99439,31.11782,8.01585,78.05148,52.24224,29.38901,0.4243,67.51624,38.3547,100.0,64.63624,24.34318,-0.06631,-2.53152
082007,23148.0,5.67381,11.34871,24.42852,1.72379,-0.886989999999999,-0.832440000000002,23148.0,2.94406,29.07531,8.20811,52.22415,31.0394,13.81113,0.33626,67.6259,27.50706,32.68533,72.91029,15.38108,0.54756,-1.43701
082008,28596.0,6.52062,11.99818,33.65215,2.30419,-0.746550000000001,0.259610000000002,28596.0,5.01648,28.45018,4.7619,61.31371,35.03637,15.95678,-0.03051,72.05786,35.69734,78.86068,72.3923,17.77072,-0.91373,1.07326
083009,19837.0,9.61188,18.6016,48.01762,2.93109,-2.53985,-4.94591,19837.0,6.73023,30.50847,7.8985,81.56826,49.38751,20.02319,1.08807,73.84189,37.04955,74.12915,74.25379,14.61529,0.27275,-0.47024
083010,17754.0,10.67488,20.46299,47.35722,3.38641,-1.29743,0.630359999999996,17754.0,6.97928,28.255,7.90835,79.47179,53.7231,22.27667,1.48414,81.9469,43.55568,25.65619,71.68613,14.59742,0.9755,3.30756
084011,9598.0,5.93695,11.20025,31.96995,1.81019,-0.68145,-1.33563,9598.0,3.65297,27.36077,3.30855,64.92074,34.31965,14.45093,0.93073,70.15141,35.41502,91.39404,72.6271,15.60399,0.09842,-2.23922
084012,43950.0,3.66021,7.0876,19.65215,1.07806,-0.12101,1.33844,43950.0,2.66789,24.53352,2.70965,49.91241,29.22184,12.07736,1.33069,68.76413,27.34842,23.16268,73.77186,15.41895,0.57232,4.22029
091001,13167.0,4.74341,9.50862,16.4551,0.37646,-0.802379999999999,-1.11039,13167.0,3.30761,28.18358,6.27981,42.86309,33.18144,19.7995,0.64479,59.30188,18.40855,78.82585,60.477,26.11363,1.90544,1.76715
091002,11299.0,4.60648,8.00956,18.56061,1.1821,-0.54975,-0.678930000000001,11299.0,2.56098,32.53012,2.30995,31.93505,19.72741,11.98336,1.69275,57.0901,20.96896,0.0,67.17153,18.42796,0.08015,-5.21868
091003,18894.0,4.73387,7.26686,18.27957,1.62071,-0.0814899999999996,0.795670000000001,18894.0,2.92683,34.27673,1.71281,35.69758,20.14396,11.85562,2.71328,70.66964,24.06293,10.55361,63.18974,22.92709,1.62195,0.55221
091004,19960.0,3.57282,6.71844,17.03932,0.60455,-0.75937,-0.701989999999999,19960.0,1.7616,33.79722,2.17726,27.23418,15.43587,8.24148,1.59621,61.2766,25.88384,11.58818,68.91508,18.39662,0.38821,-1.5208
092005,23638.0,7.09349,14.49784,35.20676,1.20595,-1.39062,-0.322719999999997,23638.0,3.86643,38.22331,6.27087,40.17995,26.94813,19.12598,2.38582,62.0438,36.56834,38.92884,53.7138,30.50718,0.78781,-3.19279
092006,13004.0,5.11767,10.40449,28.08607,0.568490000000001,-2.66392,-6.19303,13004.0,3.52324,31.70163,3.5426,38.34735,25.62289,19.19409,2.19163,64.26282,28.29268,21.67026,54.78771,31.61417,1.74672,-1.97291
092007,20210.0,4.57029,8.45621,22.3198,1.19736,-0.37453,0.942410000000002,20210.0,2.78712,32.89409,2.42174,35.72114,23.69619,17.01633,2.89634,66.76359,23.56763,18.56507,54.03247,27.99999,1.335,-1.03219
092008,11353.0,6.18276,13.6792,32.26519,1.22329,-1.68347,-3.64236,11353.0,4.94959,41.21167,3.6105,31.25904,19.73047,13.86418,2.76329,58.25921,33.6801,50.36554,61.86719,22.7666,1.92392,2.11948
093009,28277.0,4.70953,10.70128,26.06221,1.22703,0.398680000000001,2.9887,28277.0,3.44958,30.6925,2.87257,29.05535,18.10305,8.91891,1.9161,71.53053,41.73877,21.21159,68.04403,18.37065,2.16353,7.88257
093010,13177.0,2.77319,4.56857,10.58694,0.62848,-0.80843,-1.92703,13177.0,2.45009,26.02428,1.28472,22.75255,13.97131,8.18851,0.39719,62.6506,18.51145,52.81931,72.10468,28.92285,0.26305,-1.52858
093011,7217.0,2.68545,4.10143,9.46502,0.70501,-0.86029,-1.3142,7217.0,2.04082,27.24719,1.2926,29.58904,15.61591,9.22821,0.51458,59.90991,23.04147,0.0,56.80848,26.85567,4.93855,10.04508
093012,4442.0,1.69619,2.40882,5.23732,1.10184,-0.33494,-1.71183,4442.0,1.00671,23.72881,0.8489,18.82022,10.73841,4.84016,0.12361,57.67442,12.29947,78.34309,72.82197,14.39916,0.38484,1.61337
094013,12049.0,2.79177,4.05843,8.21705,0.87285,-0.6621,-0.62092,12049.0,1.7316,30.30907,1.46982,15.77896,7.76828,3.85924,0.74286,55.91398,25.80645,6.73915,71.66566,13.43955,0.66298,1.0624
094014,11382.0,4.04393,7.21314,20.86275,0.59676,-0.88684,-2.23852,11382.0,2.8536,33.19104,1.31772,23.80026,11.88719,6.69478,-0.31432,75.32808,28.82273,0.0,69.02906,16.41606,0.63525,-1.40713
094015,7337.0,6.14275,14.22925,29.67742,0.397250000000001,-2.27054,-3.84531,7337.0,5.12465,39.89247,5.46956,31.22831,20.45795,13.26155,0.85145,63.20658,40.12539,0.0,58.54191,27.00271,1.5967,0.55285
094016,6867.0,1.48906,2.06786,3.83352,0.67092,-0.0935000000000001,-1.06493,6867.0,0.0,20.558,0.84541,15.77465,8.752,3.82991,0.6915,64.63878,16.20553,32.6489,75.80475,13.85423,1.03192,6.24625
095017,19009.0,2.97317,4.30849,7.64054,0.39487,-0.43592,-1.57212,19009.0,2.49622,32.34555,1.04568,16.78416,9.36925,4.96607,0.35286,68.64407,28.73051,0.78384,67.75012,19.58458,0.74969,2.47154
