id,name,inhabitants,s1_percentage_unemployed,s3_percentage_transfer_payments_recipients,s4_percentage_transfer_payments_recipients_below_15_years,d1_percentage_unemployed,d3_percentage_transfer_payments_recipients,d4_percentage_transfer_payments_recipients_below_15_years
063005,Teltower Damm,34032.0,2.69337,4.62212,9.62842,0.91169,-0.205690000000001,-0.11318
063006,Drakestraße,50156.0,2.84747,4.33448,8.89721,0.7996,-0.32909,0.0977899999999998
064007,Zehlendorf Südwest,26858.0,1.4501,2.93767,4.51332,0.28724,0.14296,-0.24226
064008,Zehlendorf Nord,42929.0,1.24975,2.42959,3.98778,0.20383,0.04298,0.25166
071001,Schöneberg Nordwest,26195.0,6.25374,16.10994,35.59034,1.61984,-0.972489999999997,-1.52099
071002,Schöneberg Nordost,23948.0,5.31136,13.97194,25.89137,0.94117,-1.43217,-3.25632
072003,Schöneberg Südwest,21079.0,4.70644,10.83543,21.82178,1.45172,0.195410000000001,2.46966
072004,Schöneberg Südost,30527.0,4.20256,10.892,20.56515,0.96703,-0.609440000000001,-1.09359
073005,Friedenau West,24466.0,2.01011,5.20723,7.35247,0.51855,-0.24922,-0.56407
073006,Friedenau Ost,21673.0,3.70836,9.25114,19.90358,0.68453,-0.42008,0.12565
074007,Tempelhof Nord,17502.0,4.72684,11.0216,22.56222,1.20173,-0.943390000000001,0.25619
074008,Tempelhof Südwest,31951.0,4.73597,12.09665,27.58536,0.66255,-0.842499999999999,-1.70163
074009,Tempelhof Südost,15084.0,7.15501,16.53408,42.16579,1.24354,-1.77792,-1.4574
075010,Mariendorf Nord,31782.0,5.67242,12.74621,32.09125,0.75995,-1.1634,-1.9197
075011,Mariendorf Süd,20958.0,4.9423,10.3779,24.70356,1.25323,-1.16439,-3.39833
076012,Marienfelde Nord,17802.0,6.3954,15.12751,38.08455,1.99224,-0.658110000000001,2.39178
076013,Marienfelde Süd,14462.0,6.85593,15.80694,37.91946,1.78304,-0.55819,-0.131009999999996
076014,Lichtenrade Nord,21393.0,2.98287,7.9325,18.15092,0.59769,-0.18606,0.4605
076015,Lichtenrade Süd,30717.0,5.41179,12.78771,31.89693,0.98844,-0.79012,-2.0841
081001,Schillerpromenade,32480.0,9.6144,19.28879,47.35529,2.41809,-2.59675,-2.17368
081002,Neuköllner Mitte/Zentrum,37931.0,10.33046,21.32556,50.32875,2.87213,-3.04282,-2.99814
081003,Reuterstraße,39139.0,7.07944,15.57526,36.38087,1.92825,-1.79411,-2.65829
081004,Rixdorf,39699.0,9.34368,19.38084,47.17719,2.56467,-2.45703,-2.69824999999999
081005,Köllnische Heide,15387.0,17.12936,35.91993,71.84104,5.09503,-4.33849,-0.854309999999998
082006,Britz Nord,20426.0,10.22865,20.41026,49.16291,2.76112,-1.47679,1.57368
082007,Britz,23148.0,5.67381,11.34871,24.42852,1.72379,-0.886989999999999,-0.832440000000002
082008,Buckow,28596.0,6.52062,11.99818,33.65215,2.30419,-0.746550000000001,0.259610000000002
083009,Gropiusstadt West,19837.0,9.61188,18.6016,48.01762,2.93109,-2.53985,-4.94591
083010,Gropiusstadt Ost,17754.0,10.67488,20.46299,47.35722,3.38641,-1.29743,0.630359999999996
084011,Buckow Nord,9598.0,5.93695,11.20025,31.96995,1.81019,-0.68145,-1.33563
084012,Rudow,43950.0,3.66021,7.0876,19.65215,1.07806,-0.12101,1.33844
091001,Alt-Treptow,13167.0,4.74341,9.50862,16.4551,0.37646,-0.802379999999999,-1.11039
091002,Plänterwald,11299.0,4.60648,8.00956,18.56061,1.1821,-0.54975,-0.678930000000001
091003,Baumschulenweg,18894.0,4.73387,7.26686,18.27957,1.62071,-0.0814899999999996,0.795670000000001
091004,Johannisthal,19960.0,3.57282,6.71844,17.03932,0.60455,-0.75937,-0.701989999999999
092005,Oberschöneweide,23638.0,7.09349,14.49784,35.20676,1.20595,-1.39062,-0.322719999999997
092006,Niederschöneweide,13004.0,5.11767,10.40449,28.08607,0.568490000000001,-2.66392,-6.19303
092007,Adlershof,20210.0,4.57029,8.45621,22.3198,1.19736,-0.37453,0.942410000000002
092008,Köllnische Vorstadt/Spindlersfeld,11353.0,6.18276,13.6792,32.26519,1.22329,-1.68347,-3.64236
093009,Altglienicke,28277.0,4.70953,10.70128,26.06221,1.22703,0.398680000000001,2.9887
093010,Bohnsdorf,13177.0,2.77319,4.56857,10.58694,0.62848,-0.80843,-1.92703
093011,Grünau,7217.0,2.68545,4.10143,9.46502,0.70501,-0.86029,-1.3142
093012,Schmöckwitz,4442.0,1.69619,2.40882,5.23732,1.10184,-0.33494,-1.71183
094013,Köpenick Süd,12049.0,2.79177,4.05843,8.21705,0.87285,-0.6621,-0.62092
