id,name,inhabitants,z_s1_percentage_unemployed,z_s3_percentage_transfer_payments_recipients,z_s4_percentage_transfer_payments_recipients_below_15_years,z_d1_percentage_unemployed,z_d3_percentage_transfer_payments_recipients,z_d4_percentage_transfer_payments_recipients_below_15_years
09501737,Alt-Friedrichshagen,14434.0,-0.91406,-1.02451,-1.06334,-3.00191,hoch,-0.50189
09501838,Rahnsdorf,9856.0,-0.93672,-1.03728,-0.99532,-2.96932,hoch,-0.39623
09501939,Bahnhofstraße,6377.0,-0.40855,-0.67012,-0.77783,-1.8565,mittel,-0.10101
09501940,Güterbahnhof Köpenick,2678.0,0.11883,-0.41384,-0.2661,-0.56111,mittel,-0.10053
09501941,Friedrichshagener Straße,2678.0,-0.81351,-0.98931,-0.96012,-2.76294,mittel,-0.24118
09502042,Mittelheide,4106.0,-0.74667,-1.04437,-1.11302,-2.90406,mittel,-0.68425
09502043,Dammheide,9188.0,-0.71645,-0.99585,-0.92936,-2.64166,mittel,-0.63868
10100101,Marzahn West,5709.0,0.41874,1.34154,0.85486,2.61514,mittel,-0.94698
10100102,Rosenbecker Straße,3317.0,0.9448,1.44861,1.49606,3.88947,niedrig,-1.20617
10100103,Wittenberger Straße,7685.0,0.45654,1.01179,0.73966,2.20799,mittel,-0.27323
10100104,Golliner Straße,7611.0,0.47171,1.24098,0.89643,2.60912,mittel,-0.06241
10100206,Wuhletalstraße,10586.0,0.52078,0.94858,0.92553,2.39489,mittel,-0.01689
10100207,Ahrensfelder Berge,8198.0,0.53195,0.74495,0.89665,2.17355,mittel,0.09605
10100208,Bürgerpark,9163.0,0.58027,0.63045,1.2589,2.46962,mittel,0.54181
10100209,Lea-Grundig-Straße,8153.0,-0.16537,0.35352,0.35682,0.54497,mittel,-0.81943
10100210,Marzahner Promenade,10782.0,0.3439,0.43513,0.49476,1.27379,mittel,0.05155
10100311,Marzahner Chaussee,2228.0,0.334,-0.49024,-0.91864,-1.07488,mittel,0.82892
10100312,Springpfuhl,14860.0,-0.09637,0.01578,0.0284,-0.05219,mittel,-0.65523
10100313,Alt-Marzahn,4793.0,-0.37922,-0.28702,-0.16866,-0.8349,mittel,-0.6295
