id,name,inhabitants,k01_youth_unemployment,k02_single_parent_households,k03_old_age_poverty,k04_children_with_migration_background,k05_inhabitants_with_migration_background,k16_foreigners,k06_change_proportion_of_foreigner,k17_non_eu_foreigners,k07_foreign_transfer_recipients,k09_simple_residential_area,k10_duration_of_residence_over_5_years,k11_migration_volume,k12_balance_of_migration,k13_balance_of_migration_of_children_below_6
052005,Heerstraße,30171,6.96279,33.26777,9.35099,67.10366,46.04753,25.41513,2.24684,63.83672,52.68535,90.21246,67.94312,16.40467,-0.15158,0.22271
052006,Wilhelmstadt,36304,4.42352,34.1494,6.82128,60.51792,35.83076,21.75793,1.9927,64.22332,32.3785,87.24108,64.11749,22.54014,0.30907,-1.80012
053007,Haselhorst,16493,4.37192,31.63377,8.06345,67.94998,48.00218,21.59098,1.9471,59.95507,33.38447,47.56563,66.9946,18.79264,2.54213,6.49696
053008,Siemensstadt,12740,4.29091,32.85372,7.72025,66.60617,48.04553,27.67661,2.77401,66.36415,29.16137,77.29984,64.54921,23.28625,0.47674,-2.10647
054009,Gatow/Kladow,19837,0.43621,19.64529,1.32159,31.44536,18.23864,6.56349,-0.96279,59.21659,11.13106,0,73.97736,16.1327,0.3974,8.40664
061001,Schloßstraße,22077,1.25786,24.88867,4.41207,50.15823,32.364,16.909,0.42454,60.67506,12.3091,0,69.54875,19.06603,-0.11406,-4.74601
061002,Albrechtstraße,53501,1.75512,28.6855,6.3137,51.43728,33.28349,17.5193,1.25501,64.65379,15.74319,0,67.25908,19.90474,0.3253,-2.86375
062003,Lankwitz,43558,2.18285,30.91136,5.01956,47.47632,30.18045,15.68483,1.91668,66.42272,18.25875,6.02186,68.55021,18.81623,1.22349,1.47252
062004,Ostpreußendamm,35729,2.33107,27.62164,3.76535,47.82069,29.3655,15.62596,1.26478,67.9563,22.777,21.28523,69.51975,18.9627,0.95906,2.71021
063005,Teltower Damm,34032,1.26621,28.72876,2.56302,43.71888,25.94617,13.46086,0.48085,69.17704,16.26117,0,69.71767,17.78314,0.31033,1.87505
063006,Drakestraße,50156,1.37255,21.62978,2.55968,44.08256,29.01148,15.84257,0.95365,66.19683,15.0482,0.20137,67.40021,20.22576,0.59386,2.81871
