id,name,inhabitants,status_index,status_index_class,dynamic_index,dynamic_index_class,status_dynamic_index,status_dynamic_index_class,inhabitants,s1_percentage_unemployed,s3_percentage_transfer_payments_recipients,s4_percentage_transfer_payments_recipients_below_15_years,d1_percentage_unemployed,d3_percentage_transfer_payments_recipients,d4_percentage_transfer_payments_recipients_below_15_years,inhabitants,z_s1_percentage_unemployed,z_s3_percentage_transfer_payments_recipients,z_s4_percentage_transfer_payments_recipients_below_15_years,z_d1_percentage_unemployed,z_d3_percentage_transfer_payments_recipients,z_d4_percentage_transfer_payments_recipients_below_15_years,inhabitants,k01_youth_unemployment,k02_single_parent_households,k03_old_age_poverty,k04_children_with_migration_background,k05_inhabitants_with_migration_background,k06_change_proportion_of_foreigner,k07_foreign_transfer_recipients,k08_urban_apartments,k09_simple_residential_area,k10_duration_of_residence_over_5_years,k11_migration_volume,k12_balance_of_migration,k13_balance_of_migration_of_children_below_6
01044102,Schillerpark,16630.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",16630.0,5.52035,18.70114,46.59427,-1.12389,-0.28519,-4.89366,16630.0,0.71097,0.886,1.17638,2.77335,mittel,-0.1684,16630.0,3.12288,-,7.31773,66.46447,40.98016,24.30547,1.68569,60.19297,30.97417,46.41892,1.72291,33.3469,62.49549
01044103,Westliche Müllerstraße,8684.0,3.0,niedrig,+/-,stabil,3+/-,"Status niedrig, Dynamik stabil",8684.0,5.57642,20.04836,54.30862,-1.93317,-0.46625,2.8744,8684.0,0.73536,1.05574,1.60774,3.39884,niedrig,-1.05286,8684.0,2.48329,-,17.67016,78.74682,53.61585,37.33303,1.34513,58.11228,31.54957,5.12355,1.55159,32.72835,100.0
01044201,Reinickendorfer Straße,24356.0,4.0,sehr niedrig,+,positiv,4+,"Status sehr niedrig, Dynamik positiv",24356.0,7.73311,29.94745,65.26488,-2.05634,-2.49364,-5.04675,24356.0,1.67368,2.30295,2.22037,6.197,sehr niedrig,-1.18748,24356.0,5.61134,-,18.14031,88.57469,68.61964,44.29709,1.39665,62.9252,39.8025,14.8283,1.29389,27.81762,99.84398
01044202,Sparrplatz,17122.0,3.0,niedrig,+/-,stabil,3+/-,"Status niedrig, Dynamik stabil",17122.0,5.71121,20.02687,51.03483,-1.90763,-1.3166,-4.98772,17122.0,0.79401,1.05303,1.42468,3.27172,niedrig,-1.02495,17122.0,3.74895,-,18.34562,77.9361,59.01764,41.42039,1.63712,62.76086,25.77488,3.17125,1.45071,30.3586,97.90912
01044203,Leopoldplatz,16328.0,4.0,sehr niedrig,+/-,stabil,4+/-,"Status sehr niedrig, Dynamik stabil",16328.0,7.62425,27.07619,59.54089,-1.50123,-1.77207,-5.18979,16328.0,1.62631,1.94119,1.90031,5.46781,sehr niedrig,-0.58079,16328.0,4.88334,-,21.26866,82.79221,59.97673,39.99878,0.90875,58.18405,38.48243,7.96897,1.50116,31.58599,100.0
02010101,Askanischer Platz,6823.0,3.0,niedrig,+,positiv,3+,"Status niedrig, Dynamik positiv",6823.0,6.09339,21.1344,40.22869,-1.81999,-3.6303,-4.2043,6823.0,0.96028,1.19257,0.82043,2.97328,niedrig,-0.92917,6823.0,4.51745,-,23.7774,90.8775,72.40217,44.86296,0.94999,74.74681,21.688,11.33333,1.53833,32.17031,60.39865
02010102,Mehringplatz,13693.0,4.0,sehr niedrig,+,positiv,4+,"Status sehr niedrig, Dynamik positiv",13693.0,8.24742,28.57665,52.33727,-2.10115,-3.89812,-9.24056,13693.0,1.89744,2.13024,1.49751,5.52519,sehr niedrig,-1.23645,13693.0,4.19806,-,24.93059,88.74365,68.27576,33.51347,1.48305,76.1168,35.10638,21.03156,1.5004,31.31512,36.33243
02010103,Moritzplatz,15302.0,4.0,sehr niedrig,+,positiv,4+,"Status sehr niedrig, Dynamik positiv",15302.0,10.51104,31.21814,60.49618,-1.32513,-3.8104,-5.67703,15302.0,2.88227,2.46305,1.95373,7.29905,sehr niedrig,-0.38833,15302.0,5.70108,-,17.71772,90.27511,70.61822,35.59012,-0.22082,81.85824,42.9852,41.2605,1.45432,28.7701,98.35969
02010104,Wassertorplatz,5086.0,4.0,sehr niedrig,+,positiv,4+,"Status sehr niedrig, Dynamik positiv",5086.0,9.12319,31.3606,60.04872,-1.25649,-3.39356,-7.42996,5086.0,2.27846,2.481,1.9287,6.68816,sehr niedrig,-0.31331,5086.0,5.21327,-,26.49007,84.14272,65.17892,32.65828,0.26335,74.77423,45.31886,0.0,1.45379,31.7267,88.06528
02020201,Gleisdreieck/Entwicklungsgebiet,1790.0,1.0,hoch,+/-,stabil,1+/-,"Status hoch, Dynamik stabil",1790.0,0.9106,3.29609,6.45161,-0.63652,-0.3263,-0.83316,1790.0,-1.29459,-1.05493,-1.06827,-3.41779,hoch,0.36426,1790.0,1.0,-,2.07469,55.43478,38.54749,21.45251,-8.07548,59.375,6.44258,2.84153,1.64693,43.45698,16.70391
