id,s1_percentage_unemployed,s2_percentage_long_term_unemployed,s3_percentage_transfer_payments_recipients,s4_percentage_transfer_payments_recipients_below_15_years,d1_percentage_unemployed,d2_percentage_long_term_unemployed,d3_percentage_transfer_payments_recipients,d4_percentage_transfer_payments_recipients_below_15_years,k01_youth_unemployment,k02_single_parent_households,k03_old_age_poverty,k04_children_with_migration_background,k05_inhabitants_with_migration_background,k16_foreigners,k06_change_proportion_of_foreigner,k17_non_eu_foreigners,k07_foreign_transfer_recipients,k08_urban_apartments,k14_living_rooms,k15_living_space,k09_simple_residential_area,k10_duration_of_residence_over_5_years,k11_migration_volume,k12_balance_of_migration,k13_balance_of_migration_of_children_below_6
060102,6.88498,2.34146,8.78986,21.36364,-0.22564,-0.3468,-0.65659,-1.06963,3.08241,30.45034,4.66916,46.02588,27.64413,14.15168,0.9942,56.07615,21.09399,1.4531,1.88308,40.08345,3.35161,63.86941,22.62225,0.89078,-2.48515
060203,7.321,2.63986,9.64437,24.95802,0.06574,-0.08849,-0.54289,-0.93621,3.15623,32.71962,3.14057,39.56659,23.40132,11.66976,0.9128,54.51212,24.40945,10.37431,1.88991,39.22926,20.69129,65.4135,19.58994,1.07855,0.27422
060204,6.23493,2.35799,8.02536,21.46919,-0.16004,-0.21033,-0.43595,-0.69465,2.98913,25.79737,2.90075,37.83836,23.04889,11.42259,0.60597,58.20146,22.79793,2.71215,1.98227,42.4427,21.1523,67.39098,20.037,0.32598,2.88657
060305,4.50565,1.3797,5.03578,12.12945,0.19028,0.04009,-0.40269,-0.3674,1.74321,30.97401,1.85959,35.71572,19.97174,9.92724,0.56321,57.38946,11.74603,0.80342,2.06704,44.20657,0.0,66.62511,20.22577,1.44134,5.80542
060306,4.56285,1.66073,4.28044,9.01998,-0.01304,-0.01676,-0.30886,0.23902,1.42462,23.21949,1.52233,36.0434,23.57196,13.1049,1.13412,53.37088,11.76682,1.40407,1.93856,43.74005,3.11017,64.58599,22.45966,1.57599,5.85279
060407,2.89604,0.83411,2.55183,3.86338,0.07502,0.15318,-0.31978,-0.48569,1.07143,21.58161,1.63659,28.19619,19.84284,11.37433,-0.11213,59.74692,4.02844,2.49531,2.10561,50.71677,0.0,65.55749,25.91674,0.62526,6.93584
060408,2.73113,0.79398,2.18871,3.1665,0.03223,0.00749,-0.31315,-0.3039,0.46649,24.65374,1.29837,33.58946,21.71214,11.68672,0.23968,56.26667,4.62582,0.07497,2.18155,51.70576,0.0,68.51079,19.28045,0.63026,3.08362
070101,8.62762,2.99843,16.61596,35.88788,-0.30785,-0.09327,-1.07516,-3.88402,4.19538,28.65824,16.33083,69.99112,47.75122,28.81507,1.77096,64.27237,29.06363,16.03322,1.81256,40.47265,27.6498,60.66133,26.65649,1.25243,-1.66874
070202,7.74728,2.45551,12.00778,26.32969,-0.22323,-0.10694,-0.86343,-2.98699,3.20553,28.98819,9.31238,56.93594,36.6578,21.06836,1.23171,57.26637,23.90877,7.57674,1.86214,42.12341,37.50716,60.01457,26.83075,0.7889,-2.71999
070303,5.56818,1.82406,8.20287,16.53543,-0.25926,-0.11088,-0.54544,-1.23565,2.44117,27.03226,5.29457,44.56903,28.52042,14.66049,0.93703,57.94887,20.65647,1.30832,1.98015,43.41735,3.48827,64.99257,21.66054,0.69195,-0.97575
