id,name,inhabitants,s1_percentage_unemployed,s2_percentage_long_term_unemployed,s3_percentage_transfer_payments_recipients,s4_percentage_transfer_payments_recipients_below_15_years,d1_percentage_unemployed,d2_percentage_long_term_unemployed,d3_percentage_transfer_payments_recipients,d4_percentage_transfer_payments_recipients_below_15_years
04030724,Lietzensee,6294.0,6.50727,2.41558,8.72259,18.85246,-0.41432,-0.41598,0.21876,1.60006
04030725,Amtsgerichtsplatz,11822.0,6.0903,2.17011,6.98697,13.7574,0.25961,-0.08958,-0.95942,-2.83102
04030726,Droysenstraße,5407.0,6.29834,2.20994,7.97115,17.21612,-0.21004,-0.49955,-0.99516,-2.31793
04030827,Karl-August-Platz,11852.0,7.25647,2.94903,11.89673,28.34267,-0.77765,-0.4163,-1.61183,-6.48404
04030828,Savignyplatz,9315.0,5.61581,1.75308,7.79388,17.82178,0.18968,-0.59136,-0.48624,-1.29586
04030929,Hindemithplatz,5838.0,4.68442,1.77515,6.74889,10.13746,-0.86196,-0.04218,-0.739,-0.84615
04030930,George-Grosz-Platz,5444.0,3.97043,1.72508,5.80456,11.03074,-0.9458,-0.30733,-0.24178,-2.20177
04030931,Breitscheidplatz,3432.0,5.66281,1.8876,7.98368,15.75563,-0.13304,-0.49129,-0.20824,-0.16133
04031032,Halensee,14638.0,6.18398,2.3895,7.94507,16.01732,-0.34801,-0.15357,-0.5712,-3.36253
04041133,Güterbahnhof Grunewald,44.0,0,0,0,0,0,0,0,0
04041134,Bismarckallee,4979.0,4.33743,1.57104,5.80438,8.98662,-0.08735,-0.37586,-0.35076,-1.44817
04041135,Hundekehle,2762.0,2.41773,0.80591,2.28096,2.19436,0.28582,0.00644,-0.50184,-2.80564
04041136,Hagenplatz,2990.0,2.21538,0.61538,2.64214,3.11615,-1.03416,-0.3043,0.13527,-0.33213
04041137,Flinsberger Platz,7729.0,5.72821,2.25472,8.25463,19.35065,-0.49904,-0.4141,0.12476,1.89033
04041238,Kissinger Straße,5597.0,4.811,1.99938,6.55708,13.90374,-0.63439,-0.0151,-1.01757,-3.81778
04041239,Stadion Wilmersdorf,186.0,0,0,0,0,0,0,0,0
04041240,Messelpark,1551.0,2.20318,0.3672,0.90264,0,-0.11672,0.3672,-0.39185,-1.38889
04041241,Breite Straße,6952.0,3.64442,1.50209,3.98446,4.45946,-0.5095,0.15143,-0.79588,-1.67133
04041342,Schlangenbader Straße,3974.0,5.73139,2.52352,9.41117,21.32353,-1.34717,-0.79071,-0.97392,-3.76872
04041343,Binger Straße,3540.0,5.45137,1.87527,6.27119,11.47541,0.18594,-0.41217,-1.4781,-0.51369
04041344,Rüdesheimer Platz,10660.0,4.56929,1.66292,6.15385,12.0607,-0.07035,-0.03378,-1.09857,-3.14306
04051445,Eisenzahnstraße,6116.0,7.51515,2.76364,10.48071,26.23907,-0.16172,-0.59813,0.0857,2.08366
04051446,Preußenpark,10449.0,5.19253,2.04201,7.38827,15.41284,-0.38522,-0.48795,0.07387,0.28847
04051447,Ludwigkirchplatz,5173.0,7.05394,2.40071,8.27373,19.28166,0.1136,-0.34589,-0.74427,0.86061
04051448,Schaperstraße,8915.0,6.33779,2.65886,7.68368,18.29268,-0.19254,-0.02201,-0.89911,-2.06273
04051549,Rathaus Wilmersdorf,4227.0,7.54653,2.94416,9.13177,20.81633,-0.15106,0.22939,-0.83386,-0.7614
04051550,Leon-Jessel-Platz,5371.0,6.26943,2.35751,9.73748,22.2597,-0.43967,-0.42689,-0.43749,-2.09264
04051551,Brabanter Platz,4270.0,6.55036,2.33706,10.44496,23.19149,-0.96943,-0.86214,-1.58655,-5.69254
04051652,Nikolsburger Platz,9490.0,5.64224,2.01734,6.69125,12.0915,0.36972,-0.31163,-1.09421,-2.07603
04051653,Prager Platz,6623.0,6.70634,2.26596,7.54945,13.2622,0.09821,-0.29873,-0.80857,-1.40897
04051654,Wilhelmsaue,2941.0,6.17021,2.39362,6.5964,9.54357,-0.10998,-0.45126,-1.77782,-6.98186
04051655,Babelsberger Straße,6911.0,6.81108,2.20787,10.17219,19.16168,-0.27198,-1.0117,-0.99228,-3.69169
04051656,Hildegardstraße,7474.0,5.60694,1.81118,6.67648,13.45733,-0.26271,-0.28934,-0.16649,0.78717
04061757,Forst Grunewald,67.0,0,0,0,0,0,0,0,0
05010101,Hakenfelde Nord,9959.0,6.63585,1.93133,11.46701,28.98019,-1.1222,-0.51772,-0.08526,-1.39956
05010102,Goltzstraße,5671.0,8.48027,2.68682,13.50732,41.46868,-1.7703,-0.87241,0.98486,-1.14633
05010103,Amorbacher Weg,7413.0,6.3591,2.26517,8.12087,20.25974,-0.66628,-0.31351,0.12248,2.60526
05010204,Griesingerstraße,3142.0,13.20862,3.85488,25.04774,60.42105,-1.36425,-0.89108,-0.98094,-2.44659
05010205,An der Tränke,1906.0,2.85335,1.12807,3.72508,11.91489,-0.12284,0.33442,0.01565,4.69468
05010206,Gütersloher Weg,9945.0,11.77966,4.0339,19.18552,47.28261,-1.6129,-0.81022,0.27339,-1.61355
05010207,Darbystraße,11116.0,13.25691,4.35038,28.46348,58.39416,-1.6211,-0.85842,0.3665,-0.22653
05010208,Germersheimer Platz,7464.0,12.69935,4.23312,22.90997,58.71172,-1.68052,-0.34048,1.49713,1.68891
05010209,An der Kappe,6014.0,6.11126,1.82815,8.81277,23.62805,-0.15174,-0.27684,1.2989,4.96341
05010310,Eckschanze,3761.0,11.14969,3.5108,20.92529,51.52749,-2.15399,-1.30117,1.84489,3.2369
05010311,Eiswerder,5500.0,11.61207,4.21667,24.01818,56.09481,-2.87773,-1.2255,-0.06452,-1.17295
05010312,Kurstraße,6770.0,13.7917,4.41416,28.55244,62.51172,-2.04433,-1.13061,1.44505,-0.14157
