id,name,inhabitants,k01_youth_unemployment,k02_single_parent_households,k03_old_age_poverty,k04_children_with_migration_background,k05_inhabitants_with_migration_background,k06_change_proportion_of_foreigner,k07_foreign_transfer_recipients,k08_urban_apartments,k09_simple_residential_area,k10_duration_of_residence_over_5_years,k11_migration_volume,k12_balance_of_migration,k13_balance_of_migration_of_children_below_6
02010103,Moritzplatz,15593.0,6.46259,-,17.22606,88.50077,69.5312,35.81094,1.67148,82.14542,49.45344,41.27785,1.42628,28.18765,98.4865
02010104,Wassertorplatz,5044.0,7.57576,-,29.35943,84.81013,64.47264,32.39492,0.26664,76.49939,52.07907,0.0,1.4659,31.99088,88.38224
02020201,Gleisdreieck/Entwicklungsgebiet,911.0,0.0,-,0.0,69.32515,48.62788,29.52799,1.00686,59.8513,5.51181,5.24194,1.80241,49.25247,100.0
02020202,Rathaus Yorckstraße,5990.0,4.09956,-,11.98686,52.79686,42.32053,27.92988,2.99101,58.8165,23.30926,2.70363,1.67496,38.35476,77.29549
02020203,Viktoriapark,10886.0,3.78378,-,10.47535,50.09311,37.90189,23.36028,1.65049,51.16005,17.07627,0.11397,1.87433,43.34117,82.4729
02020204,Urbanstraße,12326.0,2.41868,-,14.57069,50.89385,40.69447,25.75045,0.8632,52.33144,18.96139,0.32675,1.77446,38.96722,87.31949
02020205,Chamissokiez,14892.0,2.52157,-,12.66938,50.88372,39.61859,24.31507,1.27133,57.16653,16.12114,17.4005,1.78915,40.30902,31.95676
02020206,Graefekiez,19052.0,5.15643,-,16.06129,58.77023,45.07138,27.41444,0.66571,56.48095,28.11582,1.06053,1.67421,38.22187,56.7342
02030301,Oranienplatz,9092.0,7.44467,-,25.625,77.29767,62.5165,38.14342,-0.44165,75.54787,40.85684,13.08742,1.45667,31.16443,96.02948
02030302,Lausitzer Platz,13166.0,5.14706,-,21.15385,67.28245,52.96977,32.81938,0.06076,69.03495,31.56499,14.78777,1.60679,34.82827,100.0
02030401,Reichenberger Straße,15156.0,4.28044,-,16.64025,60.22173,47.48614,31.34732,1.11476,59.06125,25.81395,2.53319,1.61824,37.53385,97.90182
02030402,Wrangelkiez,11083.0,4.57198,-,16.48999,57.93991,48.84057,32.00397,-0.48073,60.13533,27.02093,3.2601,1.63169,36.58351,100.0
02040501,Barnimkiez,5381.0,2.46575,-,1.59726,50.92199,23.47147,13.64059,1.44096,71.25341,30.58659,73.62482,1.93942,32.40959,0.0
02040502,Friedenstraße,7181.0,2.72727,-,3.13901,46.18016,25.49784,16.13981,2.51239,56.60052,20.40816,36.5717,1.90155,38.89305,0.0
02040503,Richard-Sorge-Viertel,10976.0,1.27389,-,2.44989,35.47745,23.6516,15.97121,2.39443,50.54193,16.97674,24.19964,1.76959,37.44442,52.1137
02040701,Andreasviertel,12331.0,2.2763,-,3.89892,59.57031,35.20396,23.01517,2.64178,72.79774,23.55491,49.79833,1.72906,34.99392,0.02433
02040702,Weberwiese,10714.0,0.85714,-,3.42903,29.35323,22.82994,15.43775,2.40037,41.29383,9.93865,14.57792,1.73595,39.70086,30.40881
02040703,Wriezener Bahnhof/Entwicklungsgebiet,1145.0,7.5,-,0.0,80.9322,66.55022,57.64192,3.02204,37.57576,36.90658,0.0,1.59476,36.7083,0.0
02050601,Hausburgviertel,8900.0,2.18023,-,9.56341,35.22191,27.55056,19.46067,2.7902,49.01848,16.46235,10.89276,1.73539,38.37191,100.0
02050602,Samariterviertel,21064.0,2.3212,-,9.44162,31.2126,26.88948,18.81884,3.02239,42.65893,13.84457,6.22414,1.69816,37.90448,45.44246
02050801,Traveplatz,19093.0,2.86396,-,8.0326,36.6782,30.40381,22.31184,3.39206,50.42254,18.85498,12.49647,1.67904,36.4058,55.30299
02050802,Boxhagener Platz,20431.0,1.97109,-,6.11702,27.87072,28.43228,21.21776,3.52712,37.46251,8.99906,4.12696,1.74695,39.71201,68.65547
02050803,Stralauer Kiez,6986.0,4.09683,-,6.04167,33.68298,28.4426,20.2548,3.97011,41.06007,11.66786,12.69724,1.88262,39.25537,99.25565
02050804,Stralauer Halbinsel,4171.0,1.49254,-,2.1322,26.71395,21.45768,12.49101,2.54815,62.1881,12.32604,2.27015,1.48478,37.32462,0.0
03010101,Bucher Forst,3928.0,3.28467,-,0.94637,16.32353,11.93992,7.84114,1.77502,53.8961,19.80519,30.89277,1.96105,41.3638,19.60285
03010102,Buch,11685.0,6.10134,-,2.11382,22.41551,13.09371,9.43945,4.38011,76.15594,28.84972,48.4975,1.88549,32.71151,73.92383
03010104,Lietzengraben,227.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03020203,Blankenfelde,2116.0,2.3622,-,0.0,10.08646,4.82042,1.55955,-0.51875,42.42424,37.03704,1.21335,2.01985,44.66588,92.34405
03020209,Niederschönhausen,14726.0,0.81001,-,1.81745,20.03546,14.20617,8.61741,2.26006,55.63436,9.66962,4.145,1.74976,40.2774,21.54692
03020210,Herthaplatz,11132.0,1.69903,-,1.92102,20.09524,12.32483,7.19547,3.43672,66.91635,21.26289,4.04004,1.83157,40.26734,24.61373
03020307,Buchholz,17930.0,1.61177,-,2.7833,17.77842,10.99833,4.10485,1.09637,56.25,24.31259,8.43404,1.7633,39.65527,31.71779
03030405,Karow Nord,10986.0,2.0,-,2.76855,17.9432,11.35081,5.70726,2.65318,59.48963,34.47154,19.69324,1.95849,35.69925,10.08556
03030406,Alt-Karow,8245.0,1.34328,-,0.8338,13.26007,7.30139,3.33535,1.12866,57.81818,15.96958,0.05571,2.02232,45.43238,6.40388
03030711,Blankenburg,6810.0,0.78278,-,0.52185,12.61101,5.22761,2.3348,0.54088,59.1195,8.55263,0.54738,2.00426,44.27254,99.64758
03030715,Heinersdorf,7388.0,3.41753,-,1.78827,29.71619,16.08013,11.53221,8.32699,88.02817,21.21573,9.013,1.95628,42.29034,2.3281
03030716,Märchenland,1138.0,0.0,-,0.0,6.47482,3.16344,1.75747,0.87094,70.0,25.0,0.0,2.17223,44.62917,0.87873
03040508,Rosenthal,4530.0,1.25,-,1.26761,29.81298,18.63135,5.36424,0.11026,61.31687,17.3516,1.2109,1.88499,41.91744,0.41943
03040512,Wilhelmsruh,9783.0,1.95599,-,2.11689,21.83623,12.6035,5.71399,1.38626,55.81395,16.28352,1.11843,2.00082,40.87151,0.0
03040513,Schönholz,3412.0,0.87719,-,1.88133,23.44633,13.24736,6.27198,1.35688,51.40187,17.82178,0.35361,1.83529,41.60463,25.11723
03040614,Pankow Zentrum,35308.0,2.88266,-,2.30698,18.83031,12.25218,6.93611,1.46478,51.04124,14.27365,24.98554,1.84678,39.14835,7.14286
03040818,Pankow Süd,34314.0,2.73973,-,2.92131,21.24467,14.0788,9.28484,1.58477,51.22411,16.67746,22.53036,1.95827,37.77231,27.68258
03050919,Gustav-Adolf-Straße,5564.0,3.7422,-,2.32766,34.12888,18.54781,15.63623,4.09488,88.85057,28.57143,45.84307,1.90439,33.78343,0.0
03050920,Weißer See,7397.0,1.58103,-,1.22951,23.90469,12.91064,7.74638,1.58181,41.18674,15.26032,15.25424,1.8033,37.21265,0.0
03050923,Weißenseer Spitze,9098.0,1.75182,-,5.24515,23.9358,17.38844,11.69488,2.46095,44.17293,15.55977,14.15726,1.82579,38.80281,50.3847
03050924,Behaimstraße,5883.0,4.80962,-,5.42169,27.61468,20.78871,15.28132,3.89474,47.94216,25.4902,20.99548,1.85297,39.1489,38.99371
03050925,Komponistenviertel Weißensee,9468.0,1.52144,-,3.5533,23.19639,15.46261,9.74863,3.06583,59.26327,20.1559,14.24916,1.84453,38.45025,0.0
03051017,Rennbahnstraße,4247.0,2.6764,-,4.18118,18.3121,17.40052,12.66777,3.13587,63.3829,24.23077,9.69163,1.70356,36.37579,12.55004
