id,name,inhabitants,z_s1_percentage_unemployed,z_s2_percentage_long_term_unemployed,z_s3_percentage_transfer_payments_recipients,z_s4_percentage_transfer_payments_recipients_below_15_years,z_d1_percentage_unemployed,z_d2_percentage_long_term_unemployed,z_d3_percentage_transfer_payments_recipients,z_d4_percentage_transfer_payments_recipients_below_15_years
06030607,Goerzwerke,3020.0,-1.2705,-1.0883,-0.96511,-0.95339,-4.2773,-1.10258,hoch,0.2975
06030608,Schweizer Viertel,13113.0,-1.18396,-1.19918,-1.11766,-1.25288,-4.75368,-1.22538,hoch,0.55757
06030609,Augustaplatz,12047.0,-0.60186,-0.35161,-0.74748,-0.74957,-2.45052,-0.63168,mittel,0.16971
06030610,Lichterfelde West,8103.0,-1.12056,-0.92213,-1.06749,-1.12591,-4.23609,-1.09195,hoch,0.85081
06040701,Wannsee,10113.0,-1.31348,-1.1653,-1.1801,-1.27381,-4.93269,-1.27152,hoch,0.39278
06040702,Düppel,5292.0,-1.29799,-1.28946,-1.0517,-1.23775,-4.8769,-1.25714,hoch,0.81513
06040703,Nikolassee,10851.0,-1.28875,-1.29067,-1.11849,-1.19736,-4.89527,-1.26187,hoch,0.59191
06040804,Krumme Lanke,7585.0,-1.40209,-1.34015,-1.24202,-1.32073,-5.30499,-1.36749,hoch,0.51762
06040805,Fischerhüttenstraße,5405.0,-1.27337,-1.03905,-1.02932,-1.13837,-4.48011,-1.15486,hoch,0.41137
06040806,Fischtal,7299.0,-1.1266,-1.296,-1.12024,-1.1779,-4.72074,-1.21689,hoch,0.76824
06040807,Zehlendorf Eiche,5770.0,-0.98821,-0.78611,-0.8963,-1.00636,-3.67698,-0.94783,mittel,0.29812
06040808,Hüttenweg,4592.0,-1.25756,-1.47235,-1.13381,-1.19014,-5.05386,-1.30275,hoch,1.23247
06040809,Thielallee,5136.0,-1.48691,-1.43049,-1.27092,-1.33495,-5.52327,-1.42376,hoch,1.47579
06040810,Dahlem,7091.0,-1.42216,-1.52752,-1.24179,-1.29696,-5.48843,-1.41478,hoch,1.40257
07010101,Wittenbergplatz/Viktoria-Luise-Platz,10130.0,-0.1332,-0.0062,-0.19541,-0.63164,-0.96645,-0.24913,mittel,0.09682
07010102,Nollendorfplatz,15907.0,0.57021,0.59819,0.94105,0.88991,2.99936,0.77316,mittel,-0.0914
07010103,Barbarossaplatz,10257.0,-0.1404,-0.02161,-0.33438,-0.45261,-0.949,-0.24463,mittel,1.06022
07010104,Dennewitzplatz,13701.0,0.81052,1.01295,1.20973,0.85478,3.88798,1.00222,niedrig,-0.61523
07020201,Bayerischer Platz,10496.0,-0.34617,-0.32998,-0.41874,-0.53729,-1.63218,-0.42073,mittel,-0.34127
07020202,Volkspark (Rudolf-Wilde-Park),10237.0,0.28617,0.31195,0.10472,0.12929,0.83213,0.2145,mittel,0.54537
07020203,Kaiser-Wilhelm-Platz,17768.0,0.09516,0.1785,0.2415,0.016,0.53116,0.13692,mittel,-0.48005
07020204,Schöneberger Insel,11779.0,-0.11549,0.00259,-0.17266,-0.36958,-0.65514,-0.16888,mittel,-0.91673
07030301,Friedenau,24695.0,-0.93195,-0.89571,-0.8265,-0.98462,-3.63878,-0.93798,mittel,0.30116
07030302,Ceciliengärten,9351.0,-0.7111,-0.79877,-0.696,-0.84043,-3.0463,-0.78526,mittel,0.16118
07030303,Grazer Platz,12334.0,0.36478,0.62898,0.21408,0.16485,1.37269,0.35384,mittel,0.30697
07040401,Neu-Tempelhof,18419.0,0.02236,0.03616,-0.08102,-0.26268,-0.28518,-0.07351,mittel,-0.08404
07040402,Lindenhofsiedlung,2293.0,0.27472,0.359,0.22852,0.18233,1.04457,0.26926,mittel,-1.42581
