id,name,inhabitants,status_index,status_index_class,dynamic_index,dynamic_index_class,status_dynamic_index,status_dynamic_index_class,s1_percentage_unemployed,s2_percentage_long_term_unemployed,s3_percentage_transfer_payments_recipients,s4_percentage_transfer_payments_recipients_below_15_years,d1_percentage_unemployed,d2_percentage_long_term_unemployed,d3_percentage_transfer_payments_recipients,d4_percentage_transfer_payments_recipients_below_15_years,z_s1_percentage_unemployed,z_s2_percentage_long_term_unemployed,z_s3_percentage_transfer_payments_recipients,z_s4_percentage_transfer_payments_recipients_below_15_years,z_d1_percentage_unemployed,z_d2_percentage_long_term_unemployed,z_d3_percentage_transfer_payments_recipients,z_d4_percentage_transfer_payments_recipients_below_15_years,inhabitants,k01_youth_unemployment,k02_single_parent_households,k03_old_age_poverty,k04_children_with_migration_background,k05_inhabitants_with_migration_background,k06_change_proportion_of_foreigner,k07_foreign_transfer_recipients,k08_urban_apartments,k09_simple_residential_area,k10_duration_of_residence_over_5_years,k11_migration_volume,k12_balance_of_migration,k13_balance_of_migration_of_children_below_6
01044201,Reinickendorfer Straße,23424.0,4.0,sehr niedrig,+/-,stabil,4+/-,"Status sehr niedrig, Dynamik stabil",10.80215,3.11248,32.44109,70.31163,-1.99367,-0.82785,-0.59791,-2.29037,1.62771,1.0377,2.37318,2.26648,7.30507,1.88306,sehr niedrig,-1.16466,23424.0,6.25714,-,17.34694,88.18497,67.21311,42.90044,1.13531,63.79739,45.05031,12.28546,1.32245,28.36189,99.9445
01044202,Sparrplatz,16703.0,3.0,niedrig,+/-,stabil,3+/-,"Status niedrig, Dynamik stabil",8.78701,3.01962,21.34347,56.02255,-1.05568,-0.34704,0.36487,-2.47692,0.92171,0.9507,1.07029,1.51903,4.46173,1.15012,niedrig,-0.16712,16703.0,5.23327,-,17.52848,78.00866,57.1095,39.78327,1.1021,61.3243,29.62377,3.10829,1.48662,31.07639,98.10812
01044203,Leopoldplatz,16462.0,4.0,sehr niedrig,+/-,stabil,4+/-,"Status sehr niedrig, Dynamik stabil",10.28269,3.03356,28.84826,64.73068,-1.41237,-0.56099,0.43412,-1.88733,1.44572,0.96376,1.95137,1.97455,6.3354,1.6331,sehr niedrig,-0.54645,16462.0,5.58912,-,19.38089,82.55814,57.76941,39.09003,2.0991,57.83994,41.67383,8.0961,1.47546,31.03529,100.0
02010101,Askanischer Platz,6481.0,3.0,niedrig,+,positiv,3+,"Status niedrig, Dynamik positiv",9.26938,2.8132,24.7647,44.43299,-2.22414,-1.24459,-2.27428,-14.45084,1.09071,0.75731,1.47195,0.91279,4.23276,1.0911,niedrig,-1.40976,6481.0,2.47619,-,23.68421,92.77211,71.23901,43.91298,4.67288,75.08784,25.30841,11.47491,1.49128,30.36892,68.41537
02010102,Mehringplatz,13278.0,4.0,sehr niedrig,+,positiv,4+,"Status sehr niedrig, Dynamik positiv",11.78195,3.98523,32.47477,61.57783,-1.73786,-1.33167,-1.15748,-2.55026,1.97098,1.85536,2.37714,1.80962,8.0131,2.06557,sehr niedrig,-0.89261,13278.0,6.29042,-,24.18794,89.30115,67.2767,32.03043,1.48701,73.85375,44.11374,20.02803,1.5302,31.82204,37.64121
02010103,Moritzplatz,15593.0,4.0,sehr niedrig,+,positiv,4+,"Status sehr niedrig, Dynamik positiv",13.04188,4.69397,35.02854,66.17321,-2.63786,-1.44077,-2.11945,-5.9865,2.41239,2.51937,2.67696,2.05,9.65872,2.48977,sehr niedrig,-1.84975,15593.0,6.46259,-,17.22606,88.50077,69.5312,35.81094,1.67148,82.14542,49.45344,41.27785,1.42628,28.18765,98.4865
02010104,Wassertorplatz,5044.0,4.0,sehr niedrig,+/-,stabil,4+/-,"Status sehr niedrig, Dynamik stabil",11.77274,3.93335,34.75416,67.47868,-1.43634,-0.79382,-0.7366,-3.03701,1.96775,1.80676,2.64474,2.11829,8.53754,2.20076,sehr niedrig,-0.57194,5044.0,7.57576,-,29.35943,84.81013,64.47264,32.39492,0.26664,76.49939,52.07907,0.0,1.4659,31.99088,88.38224
02020201,Gleisdreieck/Entwicklungsgebiet,911.0,1.0,hoch,+,positiv,1+,"Status hoch, Dynamik positiv",2.81294,0.56259,3.62239,7.28477,-4.493,-2.17714,-4.12409,-3.5848,-1.17128,-1.35125,-1.01022,-1.03041,-4.56316,-1.17626,hoch,-3.82266,911.0,0.0,-,0.0,69.32515,48.62788,29.52799,1.00686,59.8513,5.51181,5.24194,1.80241,49.25247,100.0
02020202,Rathaus Yorckstraße,5990.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",6.43739,1.69753,13.48915,24.49704,-0.71511,-0.93405,-0.27264,0.3497,0.09853,-0.28794,0.14817,-0.13005,-0.17129,-0.04415,mittel,0.19507,5990.0,4.09956,-,11.98686,52.79686,42.32053,27.92988,2.99101,58.8165,23.30926,2.70363,1.67496,38.35476,77.29549
02020203,Viktoriapark,10886.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",5.41742,1.63363,10.95903,20.84211,-1.18144,-0.21889,-0.73951,-3.24981,-0.25881,-0.34781,-0.14888,-0.32123,-1.07673,-0.27755,mittel,-0.30086,10886.0,3.78378,-,10.47535,50.09311,37.90189,23.36028,1.65049,51.16005,17.07627,0.11397,1.87433,43.34117,82.4729
02020204,Urbanstraße,12326.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",5.60902,1.51092,12.31543,21.72185,-0.99406,-0.583,-0.4685,-3.97452,-0.19169,-0.46277,0.01037,-0.27521,-0.9193,-0.23697,mittel,-0.10159,12326.0,2.41868,-,14.57069,50.89385,40.69447,25.75045,0.8632,52.33144,18.96139,0.32675,1.77446,38.96722,87.31949
02020205,Chamissokiez,14892.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",5.62834,1.53422,11.51625,20.89305,-1.29513,-0.53339,-0.85148,-3.04751,-0.18492,-0.44094,-0.08346,-0.31857,-1.02789,-0.26496,mittel,-0.42177,14892.0,2.52157,-,12.66938,50.88372,39.61859,24.31507,1.27133,57.16653,16.12114,17.4005,1.78915,40.30902,31.95676
02020206,Graefekiez,19052.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",7.15896,2.26791,16.63867,30.3659,-0.85978,-0.34615,-0.71128,-6.04337,0.35133,0.24644,0.51793,0.17695,1.29265,0.33321,mittel,0.04122,19052.0,5.15643,-,16.06129,58.77023,45.07138,27.41444,0.66571,56.48095,28.11582,1.06053,1.67421,38.22187,56.7342
02030301,Oranienplatz,9092.0,4.0,sehr niedrig,+/-,stabil,4+/-,"Status sehr niedrig, Dynamik stabil",10.56735,3.49358,27.87066,53.69295,-1.25045,-0.68073,-1.24176,-4.24944,1.54545,1.39475,1.8366,1.39717,6.17397,1.59149,sehr niedrig,-0.37425,9092.0,7.44467,-,25.625,77.29767,62.5165,38.14342,-0.44165,75.54787,40.85684,13.08742,1.45667,31.16443,96.02948
02030302,Lausitzer Platz,13166.0,2.0,mittel,+,positiv,2+,"Status mittel, Dynamik positiv",8.93352,2.77998,21.86693,40.73857,-1.57688,-0.75277,-1.70633,-5.57016,0.97304,0.72619,1.13174,0.71954,3.55051,0.91523,mittel,-0.72141,13166.0,5.14706,-,21.15385,67.28245,52.96977,32.81938,0.06076,69.03495,31.56499,14.78777,1.60679,34.82827,100.0
02030401,Reichenberger Straße,15156.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",7.30563,2.20342,17.9005,34.72932,-1.45908,-0.61939,-0.737,-5.29214,0.40271,0.18602,0.66607,0.4052,1.66,0.42791,mittel,-0.59613,15156.0,4.28044,-,16.64025,60.22173,47.48614,31.34732,1.11476,59.06125,25.81395,2.53319,1.61824,37.53385,97.90182
02030402,Wrangelkiez,11083.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",7.46925,2.16631,17.36894,30.92633,-0.90702,-0.71715,-0.54998,-7.33323,0.46004,0.15125,0.60367,0.20626,1.42122,0.36635,mittel,-0.00902,11083.0,4.57198,-,16.48999,57.93991,48.84057,32.00397,-0.48073,60.13533,27.02093,3.2601,1.63169,36.58351,100.0
02040501,Barnimkiez,5381.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",7.65661,2.94995,13.02732,35.02455,-1.43126,-0.19071,-0.78045,-8.66316,0.52568,0.88543,0.09395,0.42064,1.9257,0.4964,mittel,-0.56654,5381.0,2.46575,-,1.59726,50.92199,23.47147,13.64059,1.44096,71.25341,30.58659,73.62482,1.93942,32.40959,0.0
02040502,Friedenstraße,7181.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",5.923,1.65844,9.72009,26.22108,-1.16299,-0.47134,-0.87277,-4.69547,-0.08169,-0.32457,-0.29433,-0.03986,-0.74045,-0.19087,mittel,-0.28124,7181.0,2.72727,-,3.13901,46.18016,25.49784,16.13981,2.51239,56.60052,20.40816,36.5717,1.90155,38.89305,0.0
02040503,Richard-Sorge-Viertel,10976.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",4.87186,1.29352,7.76239,16.21223,-0.50197,-0.18213,0.37475,0.88062,-0.44995,-0.66645,-0.52417,-0.56342,-2.20399,-0.56813,mittel,0.42175,10976.0,1.27389,-,2.44989,35.47745,23.6516,15.97121,2.39443,50.54193,16.97674,24.19964,1.76959,37.44442,52.1137
02040701,Andreasviertel,12331.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",5.90164,1.68792,13.85938,40.49774,-0.90928,-0.38978,0.01624,-4.07558,-0.08917,-0.29695,0.19163,0.70694,0.51245,0.1321,mittel,-0.01142,12331.0,2.2763,-,3.89892,59.57031,35.20396,23.01517,2.64178,72.79774,23.55491,49.79833,1.72906,34.99392,0.02433
02040702,Weberwiese,10714.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",5.21941,1.47904,6.47751,10.63331,-0.7449,-0.02426,-1.28685,-3.78111,-0.32819,-0.49264,-0.67502,-0.85525,-2.3511,-0.60605,mittel,0.16339,10714.0,0.85714,-,3.42903,29.35323,22.82994,15.43775,2.40037,41.29383,9.93865,14.57792,1.73595,39.70086,30.40881
02040703,Wriezener Bahnhof/ Entwicklungsgebiet,1145.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",7.24324,0.75676,23.40611,66.66667,-0.80947,-1.87868,0.83301,9.52381,0.38086,-1.16933,1.31245,2.07582,2.5998,0.67016,mittel,0.09472,1145.0,7.5,-,0.0,80.9322,66.55022,57.64192,3.02204,37.57576,36.90658,0.0,1.59476,36.7083,0.0
